datestamp (bins),pricexvolume
2018-08-06,204934
2018-08-07,210038
2018-08-08,231493
2018-08-09,277888
2018-08-10,240363
2018-08-11,253902
2018-08-12,238395
2018-08-13,291309
2018-08-15,275254
2018-08-17,257688
2018-08-18,299716
2018-08-19,303553
2018-08-20,297463
2018-08-21,300498
2018-08-22,289088
2018-08-23,290658
2018-08-24,295975
2018-08-25,280154
2018-08-26,318705
2018-08-27,250331
2018-08-28,292446
2018-08-29,318854
2018-08-30,299798
2018-08-31,301352
2018-09-01,310252
2018-09-02,299040
2018-09-03,299222
2018-09-04,244270
2018-09-05,306509
2018-09-06,264836
2018-09-07,267876
2018-09-08,215238
2018-09-09,266298
2018-09-10,264350
2018-09-11,182012
2018-09-12,192273
2018-09-13,236890
2018-09-14,247565
2018-09-15,235222
2018-09-16,243887
2018-09-17,240428
2018-09-18,259456
2018-09-19,284709
2018-09-20,271847
2018-09-21,282036
2018-09-22,257846
2018-09-23,263970
2018-09-24,224492
2018-09-25,32647299746
2018-09-26,14465088758
2018-09-27,38778877622
2018-09-28,73207669585
2018-09-29,50895051067
2018-09-30,56521383387
2018-10-01,59153688050
2018-10-02,52195294622
2018-10-03,27851595771
2018-10-04,32802283766
2018-10-05,47968055082
2018-10-06,115469419326
2018-10-07,36264779083
2018-10-08,63737981289
2018-10-09,66333202116
2018-10-10,12075445635
2018-10-11,64004090592
2018-10-12,40445651838
2018-10-13,91111992798
2018-10-14,131678887
2018-10-15,61987924672
2018-10-16,49027834304
2018-10-17,2070697062
2018-10-18,66605922376
2018-10-19,76110642150
2018-10-20,29995930230
2018-10-21,63734209196
2018-10-22,74394190534
2018-10-23,39410920308
2018-10-24,64527204960
2018-10-25,49173167054
2018-10-26,53986809761
2018-10-27,74062197714
2018-10-28,20755010684
2018-10-29,37364854428
2018-10-30,60224427474
2018-10-31,85513151060
2018-11-01,82776991475
2018-11-02,51572377359
2018-11-04,69313004226
2018-11-05,93730131604
2018-11-06,88729809431
2018-11-07,49556040819
2018-11-08,72521154393
2018-11-09,59268725260
2018-11-10,117675300647
2018-11-11,62278220261
2018-11-12,98761242847
2018-11-13,88653297340
2018-11-14,57258823406
2018-11-15,87292021247
2018-11-16,129809216373
2018-11-17,65316801958
2018-11-18,92731588929
2018-11-19,59959859325
2018-11-20,131349473974
2018-11-21,59370664124
2018-11-22,91157428170
2018-11-23,76939856349
2018-11-24,104001928843
2018-11-25,22352562595
2018-11-26,51604191103
2018-11-27,90697466417
2018-11-28,96938385055
2018-11-29,101616028799
2018-11-30,61663332503
2018-12-02,27143616205
2018-12-03,38333869309
2018-12-04,105857964829
2018-12-05,115584916750
2018-12-06,94723432996
2018-12-08,146006043539
2018-12-10,113906105895
2018-12-11,66365803443
2018-12-12,95294336339
2018-12-13,107276800658
2018-12-14,84448550297
2018-12-15,87025144105
2018-12-16,15083902437
2018-12-17,54397161279
2018-12-18,122659040828
2018-12-19,83440465637
2018-12-20,87583340133
2018-12-21,103920319192
2018-12-22,73175489278
2018-12-23,135043747516
2018-12-24,112173523758
2018-12-25,112438678192
2018-12-26,140169010360
2018-12-27,321012318260
2018-12-28,122053458248
2018-12-29,336348495658
2018-12-30,167911901977
2018-12-31,250180014388
2019-01-01,140046127235
2019-01-02,244779476778
2019-01-03,200726306056
2019-01-04,164139576903
2019-01-05,278997736909
2019-01-06,62843517199
2019-01-07,109898351455
2019-01-09,206428339526
2019-01-11,148349834985
2019-01-12,275607311478
2019-01-13,89357586392
2019-01-14,215301833021
2019-01-15,225286846538
2019-01-16,189024739499
2019-01-17,226910081867
2019-01-18,201261480085
2019-01-19,273730646544
2019-01-20,24364743230
2019-01-21,140020074600
2019-01-22,276716532362
2019-01-23,7523092201
2019-01-24,168401782481
2019-01-25,245955467370
2019-01-26,208684767472
2019-01-27,223810088608
2019-01-28,132725209658
2019-01-29,252726102088
2019-01-30,218411113193
2019-01-31,123334418806
2019-02-01,330915244962
2019-02-02,157167970134
2019-02-03,65224738471
2019-02-04,99137651615
2019-02-05,302761430642
2019-02-06,110267730868
2019-02-07,301574426721
2019-02-08,186223740718
2019-02-09,192505103238
2019-02-10,9403551941
2019-02-11,210954621661
2019-02-12,144927178318
2019-02-13,65540527219
2019-02-14,97629486988
2019-02-15,285671989279
2019-02-16,194001899652
2019-02-17,163586398576
2019-02-18,181198167621
2019-02-19,160927231877
2019-02-20,170890459635
2019-02-21,167326010265
2019-02-22,147846606860
2019-02-23,215097970824
2019-02-24,234108402219
2019-02-25,220414526773
2019-02-26,156819084456
2019-02-27,137355309174
2019-02-28,120682204868
2019-03-01,166837835096
2019-03-02,175072647317
2019-03-03,196826061170
2019-03-04,185809348078
2019-03-05,189625279797
2019-03-06,49314190538
2019-03-07,171995747940
2019-03-08,77874265733
2019-03-09,172699234884
2019-03-10,218672088232
2019-03-11,177145699109
2019-03-12,255477577260
2019-03-13,99328229348
2019-03-14,221943481753
2019-03-15,124371690055
2019-03-16,170021720356
2019-03-17,75602080610
2019-03-18,91795494786
2019-03-19,147954024860
2019-03-20,11849732183
2019-03-21,189904525327
2019-03-22,108848420239
2019-03-23,298867319893
2019-03-24,50360512846
2019-03-25,103474681827
2019-03-26,204621972158
2019-03-27,76107824845
2019-03-28,150091507859
2019-03-29,254158208967
2019-03-30,73153362970
2019-03-31,170630110212
2019-04-01,10575008734
2019-04-02,128131712527
2019-04-03,33613659310
2019-04-04,169903819756
2019-04-05,161058783288
2019-04-06,105613666082
2019-04-07,194448994323
2019-04-08,156676362315
2019-04-09,138120181682
2019-04-10,120675355581
2019-04-11,127290826345
2019-04-12,221627019147
2019-04-13,210128480581
2019-04-14,65791443676
2019-04-15,121921785676
2019-04-16,43065989707
2019-04-17,18385155452
2019-04-18,182259891885
2019-04-19,141342392151
2019-04-20,214133547909
2019-04-21,107431325738
2019-04-22,10501218752
2019-04-23,201528715810
2019-04-24,141609747421
2019-04-25,185886312699
2019-04-26,194575370220
2019-04-27,122129547593
2019-04-28,2855233453
2019-04-29,139456824514
2019-04-30,200953322182
2019-05-01,109553883783
2019-05-02,124395917219
2019-05-03,218273347941
2019-05-04,205794229083
2019-05-05,137328979914
2019-05-06,10863220917
2019-05-07,181665712626
2019-05-08,136062611358
2019-05-09,114454283871
2019-05-10,173278263030
2019-05-11,140345727477
2019-05-12,197448456130
2019-05-13,180118362299
2019-05-14,179288680657
2019-05-15,6761977347
2019-05-16,160453314352
2019-05-17,94838664715
2019-05-18,252782414423
2019-05-19,5310548912
2019-05-20,181314361840
2019-05-21,109761116898
2019-05-22,136853758316
2019-05-23,153232168822
2019-05-24,137656319606
2019-05-25,188108421079
2019-05-26,128443816429
2019-05-27,16549704620
2019-05-28,149903042460
2019-05-29,62620093502
2019-05-30,141448210425
2019-05-31,112329026260
2019-06-01,151965190773
2019-06-02,151563290414
2019-06-03,116196626059
2019-06-04,188505240950
2019-06-05,20414671375
2019-06-06,136699448446
2019-06-07,144479862689
2019-06-08,187349924823
2019-06-09,34065800157
2019-06-10,52973460583
2019-06-11,191005774976
2019-06-12,129088024263
2019-06-13,168260725094
2019-06-14,164658503616
2019-06-15,111509933079
2019-06-16,11533184617
2019-06-17,154049037115
2019-06-18,102959483124
2019-06-19,142870150853
2019-06-20,213963041496
2019-06-21,127613223168
2019-06-22,115307014382
2019-06-23,893458856
2019-06-24,120743357781
2019-06-25,144521233011
2019-06-26,133741790970
2019-06-27,168717827476
2019-06-28,76596175455
2019-06-29,173805193999
2019-06-30,35795207101
2019-07-01,94404475266
2019-07-02,174994681325
2019-07-03,167421120388
2019-07-04,111479899847
2019-07-05,180668518343
2019-07-06,143251755641
2019-07-07,150366739294
2019-07-08,112749543146
2019-07-09,177747039858
2019-07-10,8083131420
2019-07-11,117902290428
2019-07-12,209388408724
2019-07-13,87160622230
2019-07-14,63567467788
2019-07-15,86760472977
2019-07-16,133131635318
2019-07-17,52005043069
2019-07-18,122592830072
2019-07-19,130173101361
2019-07-20,126754094613
2019-07-21,18966877363
2019-07-22,137765477943
2019-07-23,158131770378
2019-07-24,4466221711
2019-07-25,108264017852
2019-07-26,119551430716
2019-07-27,174131693390
2019-07-28,139033209451
2019-07-29,113806134841
2019-07-30,169517046210
2019-07-31,29278974656
2019-08-01,125306149507
2019-08-02,134183660477
2019-08-03,224404216743
2019-08-04,25131059299
2019-08-05,161919542917
2019-08-06,131233297543
2019-08-07,58805697180
2019-08-08,105929990405
2019-08-09,97890467724
2019-08-10,229131926068
2019-08-11,100621110030
2019-08-12,129534857660
2019-08-13,122370702791
2019-08-14,133743898101
2019-08-15,135733588464
2019-08-16,228725579120
2019-08-17,66441652334
2019-08-18,186230609545
2019-08-19,132908124050
2019-08-20,112691769911
2019-08-21,121261814025
2019-08-22,167015215551
2019-08-23,100766613209
2019-08-24,213020739074
2019-08-25,85067615581
2019-08-26,151452525384
2019-08-27,104636668820
2019-08-28,163927651492
2019-08-29,110969219016
2019-08-30,157769222955
2019-08-31,72238243577
2019-09-01,53850674918
2019-09-02,62377489399
2019-09-03,137888265198
2019-09-04,88341481150
2019-09-05,84824684902
2019-09-06,88420731697
2019-09-07,164029942174
2019-09-08,112732223213
2019-09-09,91927730283
2019-09-10,93664228344
2019-09-12,103893206988
2019-09-13,105443801493
2019-09-14,146561178959
2019-09-15,135966171702
2019-09-16,140837369241
2019-09-17,123882256228
2019-09-18,117188433783
2019-09-19,105793702639
2019-09-20,85171844669
2019-09-21,140730202374
2019-09-22,134049506415
2019-09-23,166438419573
2019-09-24,64145324454
2019-09-25,160060337784
2019-09-26,181351120376
2019-09-27,66527356577
2019-09-28,160806258551
2019-09-29,84394774980
2019-09-30,94135515900
2019-10-01,167787297015
2019-10-02,67618699555
2019-10-03,121801717685
2019-10-04,91431285250
2019-10-05,153625688266
2019-10-06,55919464958
2019-10-07,115872291267
2019-10-08,126393680208
2019-10-09,65425832879
2019-10-10,144801886716
2019-10-11,96069416252
2019-10-12,133893452930
2019-10-14,166339373335
2019-10-15,97650801707
2019-10-16,133448842060
2019-10-17,75861081124
2019-10-18,157202013814
2019-10-19,88261235049
2019-10-20,97249898355
2019-10-21,99626222057
2019-10-22,107245872694
2019-10-23,152244740252
2019-10-24,112699018333
2019-10-25,97066504969
2019-10-26,160167993061
2019-10-27,118689651655
2019-10-28,157758036556
2019-10-29,60837708605
2019-10-30,94645910438
2019-10-31,111947338322
2019-11-01,123133441055
2019-11-02,157927628206
2019-11-03,37083929583
2019-11-04,131507058564
2019-11-05,68471431512
2019-11-06,102637451360
2019-11-07,99208166858
2019-11-08,145654869054
2019-11-09,147062851770
2019-11-10,33957519165
2019-11-11,22232785594
2019-11-12,101540060246
2019-11-13,85154637300
2019-11-14,113195924558
2019-11-15,150113225410
2019-11-16,195956816190
2019-11-17,51300609920
2019-11-18,157623854088
2019-11-19,87589184163
2019-11-20,20991025283
2019-11-21,68981534796
2019-11-22,149827739674
2019-11-23,118707039664
2019-11-24,128003461238
2019-11-25,121521081767
2019-11-26,154971139266
2019-11-27,70340387420
2019-11-28,112275136154
2019-11-29,86558554970
2019-11-30,152564279024
2019-12-01,115262308363
2019-12-02,67779716727
2019-12-03,163714159599
2019-12-04,121105146354
2019-12-05,67974430901
2019-12-06,82474694637
2019-12-07,163323489349
2019-12-08,96440705919
2019-12-09,131082440061
2019-12-10,115636326655
2019-12-11,112111143849
2019-12-12,82437911915
2019-12-13,125079039308
2019-12-14,122718534702
2019-12-15,27260360153
2019-12-16,118280501248
2019-12-17,157249719547
2019-12-18,93404378619
2019-12-19,116732200634
2019-12-20,111064107603
2019-12-21,174745818646
2019-12-22,182735114097
2019-12-23,105553159448
2019-12-24,131302392792
2019-12-25,182119261755
2019-12-26,103901220786
2019-12-27,201698689432
2019-12-28,179212792191
2019-12-29,111177227993
2019-12-30,152229640317
2019-12-31,131907523111
2020-01-01,107883360523
2020-01-02,181302137296
2020-01-03,110261944358
2020-01-04,123632174055
2020-01-05,189023539871
2020-01-06,110785411777
2020-01-07,189512475596
2020-01-08,75949906314
2020-01-09,113950874966
2020-01-10,185841876443
2020-01-11,202370759180
2020-01-12,55485728488
2020-01-13,72039386835
2020-01-14,123112891656
2020-01-15,191336041543
2020-01-16,169847588906
2020-01-17,186062897911
2020-01-18,99956561859
2020-01-19,63999902716
2020-01-20,133909492430
2020-01-21,84912998610
2020-01-22,170396624621
2020-01-23,146847852797
2020-01-24,169299716379
2020-01-25,127527945902
2020-01-26,200749066152
2020-01-27,154668164771
2020-01-28,121403087827
2020-01-29,132582019899
2020-01-30,159164749561
2020-01-31,147540971797
2020-02-01,172096519628
2020-02-02,195249529448
2020-02-03,135850317529
2020-02-04,165763606918
2020-02-05,142897962754
2020-02-06,182123365780
2020-02-07,139022997907
2020-02-08,172641978274
2020-02-09,134630956504
2020-02-10,213642166537
2020-02-11,122534048763
2020-02-12,136464832703
2020-02-13,99205414941
2020-02-14,204610282700
2020-02-15,114785152533
2020-02-16,139940638625
2020-02-17,177300888302
2020-02-18,174479956490
2020-02-19,115337922407
2020-02-20,209620475873
2020-02-21,62133698084
2020-02-22,242543515656
2020-02-23,145257626433
2020-02-24,163327100441
2020-02-25,140030679163
2020-02-26,121872209781
2020-02-27,135833591453
2020-02-28,252327338467
2020-02-29,76450216013
2020-03-01,192958495474
2020-03-02,135395297409
2020-03-03,170201569495
2020-03-04,86740590124
2020-03-05,116345552967
2020-03-06,204740302237
2020-03-07,127221390572
2020-03-08,169642069175
2020-03-09,136762197472
2020-03-10,166464815734
2020-03-11,138493838329
2020-03-12,194125053779
2020-03-13,136735457729
2020-03-14,191022622612
2020-03-15,139967206978
2020-03-16,191705216695
2020-03-17,145701351667
2020-03-18,167172418585
2020-03-19,164418055245
2020-03-20,254953653687
2020-03-21,171858328877
2020-03-22,29762786245
2020-03-23,172001919317
2020-03-24,247704268129
2020-03-25,195298407285
2020-03-26,262683194496
2020-03-27,199442508656
2020-03-28,182654744482
2020-03-29,66269096120
2020-03-30,275527094048
2020-03-31,184842170169
2020-04-01,197168132747
2020-04-02,282726701129
2020-04-03,89457996000
2020-04-04,367380808464
2020-04-05,150929062987
2020-04-06,250355152571
2020-04-07,208401758088
2020-04-08,355831330037
2020-04-09,215891253697
2020-04-10,147598056077
2020-04-11,342686331449
2020-04-12,253896505615
2020-04-13,208121823563
2020-04-14,211113682099
2020-04-15,292390158168
2020-04-16,137041868253
2020-04-17,257523434900
2020-04-18,342501589330
2020-04-19,64871124989
2020-04-20,229102602364
2020-04-21,197146146744
2020-04-22,274223217173
2020-04-23,189220889471
2020-04-24,203636867538
2020-04-25,243306495324
2020-04-26,330686772142
2020-04-27,305012850798
2020-04-28,293024356633
2020-04-29,166121389649
2020-04-30,315118640336
2020-05-01,167649251858
2020-05-02,188774515079
2020-05-03,35435144387
2020-05-04,160862617070
2020-05-05,253462721077
2020-05-06,372276402671
2020-05-07,237150615647
2020-05-08,177776448929
2020-05-09,351688556586
2020-05-10,87365870151
2020-05-11,169650592455
2020-05-12,184957322781
2020-05-13,201585176489
2020-05-14,165447512886
2020-05-15,234602976313
2020-05-16,301035211855
2020-05-17,250726120508
2020-05-18,161297165231
2020-05-19,264485723965
2020-05-20,215217915151
2020-05-21,177126951438
2020-05-22,229851899559
2020-05-23,413541987107
2020-05-24,178601436778
2020-05-25,102224142542
2020-05-26,183108741686
2020-05-27,156046061150
2020-05-28,170695657190
2020-05-29,285485263576
2020-05-30,196398437120
2020-05-31,227945863791
2020-06-02,305067658181
2020-06-03,96049041515
2020-06-04,146730201234
2020-06-05,327342606576
2020-06-06,269845339900
2020-06-07,180354789728
2020-06-08,170128377362
2020-06-09,205176657507
2020-06-10,292279692880
2020-06-11,2121816667
2020-06-12,149111604239
2020-06-13,196857860409
2020-06-14,63303227399
2020-06-15,187534966797
2020-06-16,164553683722
2020-06-17,215676536122
2020-06-18,120512145869
2020-06-19,303000929216
2020-06-20,147330161772
2020-06-21,9710452144
2020-06-22,239652336650
2020-06-23,176110630516
2020-06-24,192656889546
2020-06-25,224515694301
2020-06-26,240207594159
2020-06-27,180431365980
2020-06-28,186187056681
2020-06-29,155247335619
2020-06-30,270518386315
2020-07-01,127461483984
2020-07-02,183777999096
2020-07-03,228016355355
2020-07-04,230438982676
2020-07-05,112001264518
2020-07-06,249650181397
2020-07-07,144636260735
2020-07-08,168147153578
2020-07-09,159256533347
2020-07-10,240195061290
2020-07-11,211734655116
2020-07-12,111539916562
2020-07-13,186970171447
2020-07-14,195070970111
2020-07-15,177397452883
2020-07-16,174931057632
2020-07-17,161143880664
2020-07-18,145355939992
2020-07-19,27460023599
2020-07-20,166431845553
2020-07-21,143297545687
2020-07-22,221377511018
2020-07-23,175960686483
2020-07-24,172072267295
2020-07-25,236875020120
2020-07-26,43423221250
2020-07-27,166850243073
2020-07-28,199986015367
2020-07-29,164417458113
2020-07-30,220517597445
2020-07-31,85655029850
2020-08-01,224225354564
2020-08-02,62628065250
2020-08-03,171559539784
2020-08-04,135325110047
2020-08-05,149659876364
2020-08-06,113160089441
2020-08-07,212853013269
2020-08-08,205231765585
2020-08-09,98401740844
2020-08-10,244972497585
2020-08-11,77296738819
2020-08-12,220465257193
